Имя_слоя;Цвет
Т1-подающий трубопровод;rgb(255,0,0)
Т2-обратный трубопровод;rgb(0,127,255)
Т3-ГВС;rgb(255,127,127)
Т4-циркуляция ГВС;rgb(255,191,127)
Т94-подпиточный;rgb(0,191,255)
Т95-дренаж напорный;rgb(255,127,0)
Т96-дренаж безнапорный;rgb(165,82,0)
В1-водопровод;rgb(0,0,165)
В2-противопожарный;rgb(159,127,255)
В4-производственное водоснабжение;rgb(127,127,255)
В5-оборотное водоснабжение;rgb(82,165,103)
Г1-Газ;rgb(255,255,0)
К1-канализация;rgb(127,63,0)
К2-ливневка;rgb(103,165,82)
Расширительный;rgb(127,0,255)
Газоход и дымовая труба;rgb(82,103,165)
Переливная труба;rgb(165,165,0)
